"","X","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link","multimedia"
"11",10,"East-West","PG-13",1,"A. O. Scott","East-West (Movie)  ","Young couple trapped in Soviet Union via false amnesty. Sumptuous, moving political drama.","2000-04-07","2000-05-05","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/07/movies/film-review-welcome-home-imperialist-dogs.html', 'suggested_link_text': 'Read the New York Times Review of East-West'}",NA
"12",11,"Ratcatcher","Not Rated",1,"Elvis Mitchell","Ratcatcher (Movie) ","This brilliant feature-film debut of Lynne Ramsay is a gorgeous blend of beauty and squalor, packed with imagery that will play over and over in your head for weeks. The movie follows a 12-year-old boy (William Eadie) in Glasgow during a few weeks in the early 1970's while a garbage strike is under way. The film's power comes from its hushed lyricism and a group of actors with an awe-inspiring openness to the camera. &#151; Elvis Mitchell","2000-04-07","","2017-11-02 04:16:16","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/07/movies/film-festival-review-intimate-look-at-a-boy-navigating-a-fetid-glasgow-landscape.html', 'suggested_link_text': 'Read the New York Times Review of Ratcatcher'}",NA
"13",12,"American Psycho","R",1,"Stephen Holden","American Psycho (Movie)  ","Mary Harron's sleekly brilliant screen adaptation of Bret Easton Ellis's notorious 1991 novel pares away most of the book's gore to portray the main character's homicidal butchery as a high-gloss fantasy. The movie's chic blend of satire, comedy and horror is anchored in a star-making performance by Christian Bale as Patrick Bateman, a fashion-obsessed late-80's Wall Street hotshot who goes on a killing spree. Reese Witherspoon, Chloe Sevigny, Samantha Mathis and Cara Seymour give dazzling cameo performances as the unfortunate women in his life. The movie's message about a soulless surface-obsessed society still applies. &#151; Stephen Holden","2000-04-14","2000-04-14","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/14/movies/film-review-murderer-fiend-but-well-dressed.html', 'suggested_link_text': 'Read the New York Times Review of American Psycho'}",NA
"14",13,"Timecode","R",1,"A. O. Scott","Time Code (Movie)  ","Mike Figgis's astonishing new film, shot in a single day with hand-held digital video cameras, tells four stories simultaneously, in real time. ''Time Code'' is at once a mordant satire of the hypocrisy and self-delusion of the film industry and an earnest declaration of faith in the medium itself. In addition to its technical innovations, which test the limits of the human eye, ear and mind, the film boasts some brilliant improvisational acting from its enormous cast. Especially fine are Jean Tripplehorn and Stellan Skarsgard, whose strongly emotional performances add a measure of pathos. Whether ''Time Code'' will ultimately be seen as a bold prophecy of the dawning visual age or as a passionate, gimmicky curio is for the future to decide. At present, though, it's hard to think of a more exciting demonstration of the inexhaustible possibilities of film. &#151; A. O. Scott","2000-04-28","2000-04-28","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/28/movies/film-review-a-digital-prism-refracts-reality.html', 'suggested_link_text': 'Read the New York Times Review of Timecode'}",NA
"15",14,"Frequency","PG-13",1,"Stephen Holden","Frequency (Movie)  ","''Back to the Future'' meets ''Field of Dreams'' meets ''It's a Wonderful Life'' meets ''The Sixth Sense'' in this entertaining but shamelessly sentimental supernatural soap opera with a macho heart. Jim Caviezel is a morose young policeman who contacts his dead father, a heroic firefighter, on a ham radio and contrives to save him from the accident that cost him his life during the 1969 World Series. From here, the two collaborate on changing other aspects of the past and on catching a serial killer. There are enough testosterone tears to soak Shea Stadium. &#151; Stephen Holden","2000-04-28","2000-04-28","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/04/28/movies/film-review-during-time-warp-in-queens-dead-dad-returns.html', 'suggested_link_text': 'Read the New York Times Review of Frequency'}",NA
"16",15,"Small Time Crooks","PG",1,"Stephen Holden","Small Time Crooks (Movie)  ","The sweet, funny wisp of a movie starts out as a parody of ''Big Deal on Madonna Street,'' then turns into a child's-eye ''Bonfire of the Vanities,'' before returning to its original mode as a caper comedy. Woody Allen and Tracey Ullman are Ray and Frenchy Winkler, an inept thief and ex-con and his upwardly mobile wife whose cookie business takes off and allows her to indulge her dream of being a Park Avenue hostess. If the movie suffers severely from attention deficit disorder, the jokes are funny (but mild), the screwball comic tone impeccably sustained and Ms. Ullman (putting on her Fern Rosenthal voice) and Elaine May (as Frenchy's dimwitted cousin) delightfully goofy. &#151; Stephen Holden","2000-05-19","2000-05-19","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/05/19/movies/film-review-just-take-the-money-and-run-nah-she-wants-class-and-culcha.html', 'suggested_link_text': 'Read the New York Times Review of Small Time Crooks'}",NA
"17",16,"Shanghai Noon","PG-13",1,"A. O. Scott","Shanghai Noon (Movie)  ","Jackie Chan is one of the great physical comedians, and this martial arts western spoof is a high-spirited, marvelously silly showcase for his talents. Mr. Chan plays Chon Wang, an Imperial Guard dispatched from Beijing to the Old West to rescue a princess played by Lucy Liu. But the heart of the movie is the interplay between Mr. Chan and Owen Wilson, who depicts his inept outlaw sidekick with goofy, spacey charm. After the glum bullying of ''Gladiator'' and the noisy bombast of ''M:I-2,'' it's refreshing to see a movie so good-natured, so confident in its ability to provoke not queasy awe or numb exhaustion, but pure delight. &#151 A. O. Scott","2000-05-26","2000-05-26","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/05/26/movies/film-review-new-age-meets-old-west-in-a-multicultural-farce.html', 'suggested_link_text': 'Read the New York Times Review of Shanghai Noon'}",NA
"18",17,"Groove","R",1,"Elvis Mitchell","Groove (Movie)  ","If you're nostalgic for chasing down a rave gig across the city and arriving to find a pair of 16-year-olds discussing the merits of drum and bass versus jungle, then this mostly knowing and funny comedy is just the film for you. Even if you're not, its seductive lack of pretension will win you over. ''Groove'' is a comedy of moments, tracking a crowd through the ups and downs of one night of pleasure at a rave. Greg Harrison and his team don't try to pretend that raves are anything new or dangerous. Rather, they're an entrenched circuit with specific tribal complications, and this genial picture captures them. %#151; Elvis Mitchell","2000-06-09","","2017-11-02 04:16:18","{'type': 'article', 'url': 'http://www.nytimes.com/2000/06/09/movies/film-review-into-the-night-endlessly-searching-for-the-perfect-rave.html', 'suggested_link_text': 'Read the New York Times Review of Groove'}",NA
"19",18,"Chicken Run","G",1,"Elvis Mitchell","Chicken Run (Movie)  ","The first full-length feature from Aardman Animation is immensely satisfying, a divinely relaxed and confident film that credits youngsters' interest in a cartoon more substantial than the standard bland musical. The movie employs modeled latex figures to tell the story of a group of chickens desperate to escape from a chicken farm before they are turned into pies. Nick Park, who also directed the fabulous Wallace and Gromit shorts, transfers all of the deftness and imagination of his shorter films into an artful big-screen realization. And this briskly paced epic uses Peter Lord's continuing satirical take on British modesty and balmy superiority. ''Chicken Run'' parodies cultural touchstones from ''Stalag 17'' to ''Star Trek'' to the loose-cannon heroics of Mel Gibson, the voice of Rocky, the matinee-idol flying rooster who is asked to teach the hens to fly. Finally, it shows that the hens can save themselves through the pluck of Ginger (Julia Sawalha) and doesn't make a big deal of this. — Elvis Mitchell","2000-06-21","2000-06-23","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/06/21/movies/film-review-on-flying-the-coop-with-plenty-of-yolks.html', 'suggested_link_text': 'Read the New York Times Review of Chicken Run'}",NA
"20",19,"Getting to Know You","Not Rated",1,"Elvis Mitchell","Getting to Know You (Movie)  ","Adapting material by Joyce Carol Oates, Lisanne Skyler conjures an alluring tale of mistrust and hope by getting to the themes of self-deception and betrayal that Oates characters often weave for themselves. Stranded at a bus station, Judith (Heather Matarazzo) and Jimmy (Mark Weston) spin tales about the people they see there and reveal things about each other through their extemporaneous fictions. Ms. Skyler gets standout performances, and her patience and skill are revealed in small, satisfying ways throughout the film. &#151; Elvis Mitchell","2000-06-28","","2017-11-02 04:16:16","{'type': 'article', 'url': 'http://www.nytimes.com/2000/06/28/movies/film-review-in-a-bus-station-surrounded-by-stories-and-lies.html', 'suggested_link_text': 'Read the New York Times Review of Getting to Know You'}",NA
"21",0,"Praise","",1,"Elvis Mitchell","Praise (Movie) ","A stunner about a doomed relationship that's like Tennessee Williams with the ragged heedlessness of post punk. Gordon (Peter Fenton) is the epitome of slacker, a slender do-nothing whose passivity is part of his wasted charm. He attracts the sexually voracious Cynthia (Sacha Horler), whose soft body is wracked with eczema. Though the movie feels aimless, John Curran lets the explicit detail spell out the compulsiveness of the characters and uses jolts of humor to keep the squalor from lapsing into unrelieved unpleasantness. Ms. Horler's tender and fearless performance is just one of the elements that will stick with you. &#151; Elvis Mitchell","2000-06-30","","2017-11-02 04:16:15","{'type': 'article', 'url': 'http://www.nytimes.com/2000/06/30/movies/film-review-one-passive-one-fearless-squalid-world-of-2-lovers.html', 'suggested_link_text': 'Read the New York Times Review of Praise'}",NA
"22",1,"Chuck and Buck","R",1,"A. O. Scott","Chuck and Buck (Movie)  ","At the center of Miguel Arteta's funny, creepy and poignant new film is Buck, a 27-year-old man who inhabits the mental world of a preadolescent boy. As played by Mike White, who also wrote the screenplay, Buck is needy and sensitive, an object equally of sympathy and revulsion. The film chronicles his attempt to rekindle his childhood bond with his old friend Charlie (Chris Weitz), who has grown into a distant, self-absorbed careerist. Mr. Arteta's visual sense, Mr. White's insightful script and strong supporting performances from Mr. Weitz and his brother Sam, as well as from Lupe Ontiveros as a kindly theater manager, make this one of the most unusual and affecting coming-of-age stories in some time. ''Chuck and Buck'' is an antidote to the current epidemic of lazy nostalgia for the innocence of childhood and therefore, magically, one of the few truly grown-up movies you're likely to see this year. &#151; A. O. Scott","2000-07-14","2000-08-04","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/07/14/movies/film-review-childhood-longings-in-a-grown-up-world.html', 'suggested_link_text': 'Read the New York Times Review of Chuck and Buck'}",NA
"23",2,"Alice and Martin","R",1,"A. O. Scott","Alice and Martin (Movie) ","Andre Techine's sprawling, emotional love story is the kind of movie that makes you work a little. It takes time to figure out the relationships between the characters, to say nothing of their motives and feelings. But like so many of Mr. Techine's movies, ''Alice and Martin'' repays the effort. The unlikely, complicated passion between Martin, the troubled illegitimate son of a wealthy industrialist, and Alice, a brittle violinist, unfolds against an equally complicated and sometimes overcrowded background of family secrets and shifting domestic alliances. Juliet Binoche and Alexis Loret are superb in the title roles. &#151; A. O. Scott","2000-07-21","","2017-11-02 04:16:16","{'type': 'article', 'url': 'http://www.nytimes.com/2000/07/21/movies/film-review-a-divided-french-family-unhappy-in-its-own-way.html', 'suggested_link_text': 'Read the New York Times Review of Alice and Martin'}",NA
"24",3,"The Wind Will Carry Us","",1,"A. O. Scott","Wind Will Carry Us, The (Movie) ","The latest film by this Iranian director, widely considered one of the greatest living filmmakers, is oblique, evocative and visually stunning. Abbas Kiarostami's views of hillsides, valleys and gnarled, solitary trees seem almost otherworldly in their clarity and depth, and his story, about a morose engineer who has come to a remote Kurdish village on an enigmatic mission, is as simple and mysterious as a folk tale. This is one of those rare movies that completely absorb your attention and demand your concentration while you're watching, and that stay in your thoughts, growing richer and more powerful, for a long time afterward. &#151; A. O. Scott","2000-07-28","","2017-11-02 04:16:17","{'type': 'article', 'url': 'http://www.nytimes.com/2000/07/28/movies/film-review-finding-the-beauty-of-life-in-a-rural-corner-of-iran.html', 'suggested_link_text': 'Read the New York Times Review of The Wind Will Carry Us'}",NA
"25",4,"Space Cowboys","PG-13",1,"A. O. Scott","Space Cowboys (Movie)  ","The second half of Clint Eastwood's new movie is a pleasant reworking of the standard trouble-in-space movie, with Mr. Eastwood himself leading a heroic team of astronauts that also includes Tommy Lee Jones, Donald Sutherland and James Garner. But the first half, which consists of the comic, tough-old-guy interplay among these four sublime actors, is a boisterous, easygoing tribute to manhood and maturity. Mr. Sutherland and Mr. Jones are in especially fine form, as are Marcia Gay Harden, playing a NASA engineer, and James Cromwell as (once again) the villainous bureaucrat who tries to deny the old-timers their shot at celestial glory. — A. O. Scott","2000-08-04","2000-08-04","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/08/04/movies/film-review-voices-of-experience-rocketing-to-the-rescue.html', 'suggested_link_text': 'Read the New York Times Review of Space Cowboys'}",NA
"26",5,"Cecil B. Demented","R",1,"Stephen Holden","Cecil B Demented (Movie)  ","John Waters's comedy portrays the ultimate cult director (Stephen Dorff) as a punk madman, part Charles Manson, part Andy Warhol, leading a band of freaky ''cinema terrorists'' in blows against the Hollywood empire. When they kidnap a spoiled star (Melanie Griffith) and force her, Symbionese Liberation Army style, to commit terrorist acts that become their movie in progress, she gleefully takes to her new role. The targets range from Pauly Shore to ''Patch Adams'' to ''Forrest Gump.'' Although smart and funny, the movie lacks the maniacal edge of Mr. Waters's most memorable work. &#a5a; Stephen Holden","2000-08-11","2000-09-01","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/08/11/movies/film-review-lights-camera-artillery-this-is-all-out-war.html', 'suggested_link_text': 'Read the New York Times Review of Cecil B. Demented'}",NA
"27",6,"The Original Kings of Comedy","R",1,"Elvis Mitchell","Original Kings of Comedy, The (Movie) ","Filmed before a live audience on two nights in February in Charlotte, N.C., the self-proclaimed Kings of Comedy swagger across the stage, urban legends in resplendent outfits. Until a couple of years ago the comedians' exposure was limited mostly to cable television. Here their comedy gives audiences that have never seen anything like it a hilarious window on a new world. They display their chops when they talk about family, specifically African-American family with roots in the South. &#151; Elvis Mitchell","2000-08-18","2000-08-18","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/08/18/movies/film-review-in-the-flamboyant-tradition-of-richard-pryor.html', 'suggested_link_text': 'Read the New York Times Review of The Original Kings of Comedy'}",NA
"28",7,"Madadayo","",1,"A. O. Scott","Madadayo (Movie) ","In the course of his long career, Kurosawa, who died in 1998, made a number of great movies. His last film, ''Madadayo,'' released in Japan in 1993, lacks the narrative intensity of emotional range to be considered among his masterpieces, but within its own modest proportions it achieves a kind of perfection. The story is not much: a retired professor in postwar Tokyo lives out his twilight years in the glow of his former students' devotion and declares his unreadiness to say farewell to the life he lives with humor and gusto. But Kurosawa's absolute assurance as a filmmaker and his unabashed affection for his characters make ''Madadayo'' a richly, and in a way inexplicably, satisfying movie. &#151; A. O. Scott","2000-09-01","1998-03-20","2017-11-02 04:17:55","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/01/movies/film-review-in-the-serenity-of-old-age-he-gains-a-moral-splendor.html', 'suggested_link_text': 'Read the New York Times Review of Madadayo'}",NA
"29",8,"The Way of the Gun","R",1,"Elvis Mitchell","Way of the Gun, The (Movie)  ","This film feels like a more violent and grim version of a Coen brothers film; it could be Quentin Tarantino's ''Raising Arizona.'' Its lead characters are small-time criminals who tend to speak in ambitious and hilariously orotund turns of phrase. The two, um, heroes, while visiting a sperm bank, hatch a plan to kidnap a young woman doing surrogate mother duty for a wealthy couple. ''Gun'' is a stylish and intelligent film noir built around the feelings adults have about babies, climaxing with a childbirth and a lengthy gunfight and standoff. &#151; Elvis Mitchell","2000-09-08","2000-09-08","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/08/movies/film-review-a-noir-story-of-guns-always-at-the-ready.html', 'suggested_link_text': 'Read the New York Times Review of The Way of the Gun'}",NA
"30",9,"Solas","R",1,"STEPHEN HOLDEN","Solas (Movie)  ","When a simple Spanish woman (Maria Galiana) makes a rare journey to the city to be with her husband, who is having surgery, she stays with her embittered, alcoholic daughter (Ana Fernandez) who works for a cleaning service. Ms. Galiana's eloquent, utterly unsentimental portrayal of a woman who expects little of life is an extraordinarily moving portrait of unconditional love gradually working its wonders. &#151; Stephen Holden","2000-09-08","","2017-11-02 04:16:16","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/08/movies/film-review-a-mother-s-selfless-love-and-dignity.html', 'suggested_link_text': 'Read the New York Times Review of Solas'}",NA
"31",10,"It All Starts Today","",1,"A. O. Scott","It All Starts Today (Movie) ","Filmed with unassuming realism, beautiful to look at even as it avoids any suggestion of stylishness, Bertrand Tavernier's film is a passionate and relentless look at how chronic unemployment -- with the usual side effects of alcoholism, domestic abuse and pervasive despair -- menaces the lives of children. Philippe Torreton plays the director of a preschool in a town where the coal mines have been shut down, and the film chronicles his daily battles with bureaucrats, parents and his own pessimism. The film avoids both sentimentality and cynical despair; Mr. Torreton's character refuses to succumb to hopelessness, but he also refuses to rule it out. — A. O. Scott","2000-09-08","","2017-11-02 04:16:16","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/08/movies/film-review-life-flings-tough-lessons-into-the-face-of-a-dedicated-educator.html', 'suggested_link_text': 'Read the New York Times Review of It All Starts Today'}",NA
"32",11,"Nurse Betty","R",1,"Stephen Holden","Nurse Betty (Movie)  ","Alternately hilarious, poignant and gory, this modern fairy tale that follows an aspiring nurse (Renee Zellweger), suffering from traumatic amnesia, to Los Angeles to win the love of her favorite soap-opera character is a contemporary ''Wizard of Oz.'' Hollywood is the Emerald City. Greg Kinnear is the self-centered actor who plays her heart's desire on television. Morgan Freeman and Chris Rock are a sadly introspective hit man and his hot-headed protege who follow her across the country with intention to do harm. This may be the deepest and funniest American comedy since David O. Russell's ''Flirting With Disaster.'' &#151; Stephen Holden","2000-09-08","2000-09-08","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/08/movies/film-review-fragile-handle-with-dreams.html', 'suggested_link_text': 'Read the New York Times Review of Nurse Betty'}",NA
"33",12,"Almost Famous","R",1,"A. O. Scott","Almost Famous (Movie)  ","Cameron Crowe's loose, affectionate look back on his earlier career as a teenage rock journalist overflows with wonderful performances and memorable moments. Patrick Fugit brings the perfect balance of intelligence and innocence to the role of William Miller, a San Diego teenager who takes to the road with a scruffy band called Stillwater, on assignment for Rolling Stone. ''Almost Famous'' isn't perfect -- it lacks a necessary dimension of demonic sleaze -- but Mr. Crowe's smart, compassionate writing and performances by Billy Crudup, Kate Hudson, Jason Lee and Frances McDormand (among many others) make it hum. &#151; A. O. Scott","2000-09-13","2000-09-22","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/13/movies/film-review-with-sympathy-for-the-devil-a-rock-writer-finds-his-way.html', 'suggested_link_text': 'Read the New York Times Review of Almost Famous'}",NA
"34",13,"The House of Mirth","PG",1,"Stephen Holden","House of Mirth, the (Movie) ","One of Edith Wharton's greatest novels has been adapted by this English director into a powerful but extremely somber feminist allegory in which Gillian Anderson (somewhat miscast as Lily Bart but powerful nonetheless) is a precociously modern woman crushed by the cruel hypocrisies of New York society in 1905. More Dickensian than Whartonian in its telling, the story of Lily's downfall still has a crushing force. Laura Linney is exquisite as the treacherous, two-faced Berthe Dorset, who engineers her destruction. &#151; Stephen Holden","2000-09-23","","2017-11-02 04:16:17","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/23/movies/film-review-the-not-so-discreet-evil-of-the-1905-upper-crust.html', 'suggested_link_text': 'Read the New York Times Review of The House of Mirth'}",NA
"35",14,"Best in Show","PG-13",1,"Stephen Holden","Best in Show (Movie)  ","In the mold of Christopher Guest's earlier cult favorites, ''This Is Spinal Tap'' and ''Waiting for Guffman,'' this semi-deadpan satire spoofs the world of dog shows. A cross section of American eccentrics gather with their prized pets at a Philadelphia competition. The humor in this largely improvised film is barbed and condescending but rarely vicious. Like most skit comedy, the whole is somewhat less than the sum of its parts. Great fun, nonetheless. &#151; Stephen Holden","2000-09-27","2000-10-20","2017-11-02 04:17:58","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/27/movies/film-review-dog-owner-eat-dog-owner-kind-of-world.html', 'suggested_link_text': 'Read the New York Times Review of Best in Show'}",NA
"36",15,"George Washington","Not Rated",1,"Elvis Mitchell","George Washington (Movie)  ","A dream of a picture, with delicate shifts of tone and the sure, steady hand of a writer-director &#151; in this case, the first-time feature filmmaker David Gordon Green &#151; who trusts his actors. Lively and inviting, &quot;George Washington&quot; follows its group of young actors &#151; none of whom have an ounce of the professional, ingratiating slickness of child performers &#151; through what initially feels like idle conversation and turns out to be layers of character revelation. Mr. Green and his talented cinematographer, Tim Orr, build a community, and the gentle intermingling of the races has the honest feel of a real Southern town. &#151; Elvis Mitchell","2000-09-29","","2017-11-02 04:16:19","{'type': 'article', 'url': 'http://www.nytimes.com/2000/09/29/movies/film-festival-review-slowing-the-pace-until-chatter-can-be-revelation.html', 'suggested_link_text': 'Read the New York Times Review of George Washington'}",NA
